"photo_id","wb_gain_r","wb_gain_g","wb_gain_b","exposure_gain","saturated_frac","wb_clamped","exp_clamped","n_bg_pixels","residual_a","residual_b","residual_euclid"
"6495475063_1",0.925194078675648,0.975575327824745,1.1184312115143,1.08935185804379,0.0569,FALSE,FALSE,18862,-1.61737195943049,7.93867895030289,8.10176002675556
"6495475063_2",0.967432010837316,1.00738894159865,1.02704162010904,1.09118035873042,0.07565,FALSE,FALSE,18487,-0.393223117787778,5.25496157614704,5.26965327010654
"6495475297_1",0.971261496037407,1.00637306973509,1.02380985730622,1.24297620597898,0.01195,FALSE,FALSE,19761,0.294452437964055,-1.68742096756518,1.71291907573054
"6495475297_2",0.967934942089126,1.0092173257058,1.02458401612295,1.14706369042663,0.00165000000000004,FALSE,FALSE,19967,0.0160552673838521,-1.25789714698044,1.25799960413042
"6495475689_1",0.974642146717871,1.01479354724558,1.01157209679403,1.06469179271238,0.0740499999999999,FALSE,FALSE,18519,-0.303604781630995,4.15555428375573,4.16663020541417
"6495475689_2",0.992951923314619,1.01563065958387,0.991776194310934,1.0077976028805,0.02175,FALSE,FALSE,19565,0.591260611518984,3.47228238608099,3.52226263634927
"6495476308_1",0.900273126925941,0.950008398026911,1.19530907181462,1.06991152704424,0.1236,FALSE,FALSE,17528,-0.788225492800804,5.91216518034302,5.96447789392848
"6495477030_1",0.96695040799952,1.02619247772347,1.00873082575775,1.01665525239819,0.0580000000000001,FALSE,FALSE,18840,0.347891167420317,1.04009416019368,1.09673338895015
"6495477425_1",0.978447083803668,0.992195017502394,1.03081524911403,1.03064589601749,0.0228,FALSE,FALSE,19544,0.00366466070836347,2.722878781741,2.72288124783169
"6495477459_1",0.878912218079676,0.827808819600944,1.52853416212389,1.3081502322883,0.00780000000000003,FALSE,FALSE,19844,-8.42441775501931,12.758503976078,15.2888926420026
"6495477459_2",0.8633510503852,0.824944412736032,1.58851258113595,1.31628837258209,0.00624999999999998,FALSE,FALSE,19875,-7.32986690262033,12.1014528659185,14.1482193323462
"6495477475_1",0.965781142443963,0.987129142558205,1.05093896066962,1.01193286708051,0.09405,FALSE,FALSE,18119,-0.12937436555277,3.54932689090655,3.55168398157473
"6495477602_1",0.884997566259866,0.953298951911684,1.21793109821089,1.11275549594504,0.07425,FALSE,FALSE,18515,0.632737640210046,8.10386476540863,8.12852883721095
"6495478493_1",0.903115431448036,0.977997310742522,1.14912924348792,1.12262213104254,0.02765,FALSE,FALSE,19447,-4.34669781802399,12.5597757247729,13.2906639479677
"6495478493_2",0.950612604775062,0.993321673760945,1.06233399391613,1.08038996380283,0.01355,FALSE,FALSE,19729,-6.51656675881246,11.8852259264021,13.5544914195878
"6495478493_3",0.917829071538559,0.919188297864954,1.21572249010434,1.15955332651334,0.032,FALSE,FALSE,19360,-10.9766163247592,17.9123233516852,21.0080326017525
