photo_ID,class_coverage
2429360166_1.jpg,15.75
2429385197_1.jpg,3.38
2429385209_1.jpg,13.14
2429386915_1.jpg,7.69
2429386915_2.jpg,7.36
2429386915_3.jpg,7.52
2429388125_1.jpg,0.72
2429532023_1.jpg,1.56
2429556511_1.jpg,0.62
2429587386_1.jpg,11.90
2429590960_1.jpg,28.28
2429590960_2.jpg,13.90
2429601739_1.jpg,2.11
2447979716_1.jpg,0.81
2447979716_2.jpg,0.72
2448000072_1.jpg,3.11
2448003331_1.jpg,23.39
2448003331_2.jpg,14.13
2451726527_1.jpg,3.16
2451726527_2.jpg,2.34
2456568602_1.jpg,13.43
2460071081_1.jpg,11.74
2465135757_1.jpg,3.43
2465154593_1.jpg,3.35
2465315239_1.jpg,26.98
2465355641_1.jpg,23.03
2518017405_1.jpg,0.23
2518017405_2.jpg,0.31
2529267522_1.jpg,5.26
2529318619_1.jpg,3.33
2540749834_1.jpg,10.22
2543034207_1.jpg,15.63
2550045497_1.jpg,4.68
2550122631_1.jpg,5.98
2550122631_2.jpg,18.80
2573855394_1.jpg,42.92
2573855394_2.jpg,39.91
2574110864_1.jpg,14.63
2574244235_1.jpg,10.09
2574297914_1.jpg,0.53
2574299702_1.jpg,8.20
2574299702_2.jpg,3.74
2576283193_1.jpg,23.31
2576325855_1.jpg,2.31
2576325855_2.jpg,1.62
2576325855_3.jpg,7.78
2576366467_1.jpg,2.23
2596042429_1.jpg,39.94
2596079571_1.jpg,20.55
2596162911_1.jpg,0.00
2596223683_1.jpg,25.23
2596230740_1.jpg,0.42
2596285334_1.jpg,6.52
2596340889_1.jpg,16.23
2596387543_1.jpg,8.72
2596403324_1.jpg,32.94
2597706369_1.jpg,3.14
2597706369_2.jpg,21.39
2597905030_1.jpg,4.54
2603295104_1.jpg,1.30
2603295104_2.jpg,0.88
2603332022_1.jpg,1.87
2603381529_1.jpg,2.82
2603410197_1.jpg,7.43
2603410310_1.jpg,4.95
2603416383_1.jpg,0.26
2603416383_2.jpg,0.43
2603416383_3.jpg,0.31
2609097171_1.jpg,7.08
2609097171_2.jpg,44.53
2609098601_1.jpg,2.61
2609106532_1.jpg,21.35
2609106532_2.jpg,41.49
2609106532_3.jpg,27.80
2609120106_1.jpg,2.57
2609135261_1.jpg,10.38
2609135261_2.jpg,4.59
2609154079_1.jpg,1.86
2609194022_1.jpg,5.90
2609262933_1.jpg,4.69
2609286641_1.jpg,20.41
2609286641_2.jpg,10.72
2609286641_3.jpg,15.53
2609338361_1.jpg,14.07
2609339294_1.jpg,20.76
2609339294_2.jpg,13.35
2609339294_3.jpg,11.84
2610934295_1.jpg,1.86
2610942656_1.jpg,14.50
2610947765_1.jpg,20.68
2610948983_1.jpg,12.90
2610975239_1.jpg,1.46
2611047326_1.jpg,3.92
2611275565_1.jpg,3.45
2611285560_1.jpg,2.62
2611285560_2.jpg,0.90
2611331370_1.jpg,4.69
2619879589_1.jpg,17.08
2619879589_2.jpg,3.80
2619893112_1.jpg,0.07
2620061917_1.jpg,1.21
2620106807_1.jpg,7.62
2620189825_1.jpg,0.30
2626109232_1.jpg,9.20
2626135071_1.jpg,5.24
2626150209_1.jpg,1.62
2626243439_1.jpg,0.55
2626303544_1.jpg,5.69
2626313469_1.jpg,1.09
2626313469_2.jpg,4.31
2626313469_3.jpg,0.39
2626329479_1.jpg,1.89
2626355071_1.jpg,7.89
2626357904_1.jpg,2.76
2626427303_1.jpg,1.80
2626477445_1.jpg,9.54
2626489423_1.jpg,1.33
2626492643_1.jpg,1.79
2626545235_1.jpg,5.18
2626545235_2.jpg,1.60
2626587976_1.jpg,1.55
2626616405_1.jpg,2.81
2626619746_1.jpg,5.90
2626635776_1.jpg,2.14
2634004928_1.jpg,6.53
2634004928_2.jpg,0.42
2634071162_1.jpg,0.36
2634096059_1.jpg,0.31
2634242991_1.jpg,2.57
2634263886_1.jpg,1.14
2634290051_1.jpg,3.91
2634364810_1.jpg,0.06
2634403202_1.jpg,0.05
2634426495_1.jpg,9.09
2634501347_1.jpg,6.84
2634570569_1.jpg,0.65
2634576324_1.jpg,7.05
2634580213_1.jpg,2.71
2634611836_1.jpg,2.59
2641333863_1.jpg,0.00
2641340569_1.jpg,1.27
2641426696_1.jpg,6.20
2641483699_1.jpg,11.32
2641538679_1.jpg,6.95
2802606228_1.jpg,14.24
2802631152_1.jpg,13.76
2802631152_2.jpg,1.34
2802655260_1.jpg,6.89
2802669513_1.jpg,8.13
2802822343_1.jpg,3.21
2802822343_2.jpg,2.51
2802832608_1.jpg,8.52
2802891173_1.jpg,40.23
2802990192_1.jpg,30.10
2803007517_1.jpg,0.85
2803149304_1.jpg,1.19
2813867833_1.jpg,10.76
2813867833_2.jpg,22.90
2813877517_1.jpg,1.87
2813886997_1.jpg,12.38
2813886997_2.jpg,11.22
2813886997_3.jpg,12.72
2813886997_4.jpg,11.20
2813901250_1.jpg,2.33
2814065210_1.jpg,2.92
2814176285_1.jpg,1.76
2814284669_1.jpg,6.91
2814332494_1.jpg,20.75
2814370547_1.jpg,12.12
2814372309_1.jpg,4.14
2814436317_1.jpg,3.67
2818523153_1.jpg,14.94
2818523153_2.jpg,5.75
2818523153_3.jpg,12.20
2818635405_1.jpg,7.60
2818636469_1.jpg,2.50
2818648493_1.jpg,20.15
2818725810_1.jpg,2.71
2823169329_1.jpg,10.10
2823169329_2.jpg,18.87
2823169329_3.jpg,2.15
2823375626_1.jpg,14.49
2823375626_2.jpg,49.95
2823375626_3.jpg,13.10
2823406414_1.jpg,15.90
2823438615_1.jpg,7.27
2826158505_1.jpg,2.57
2826340230_1.jpg,20.08
2826349093_1.jpg,8.06
2826366923_1.jpg,2.87
2826366923_2.jpg,2.04
2826366923_3.jpg,2.82
2826398968_1.jpg,3.83
2826493620_1.jpg,21.47
2832084277_1.jpg,5.47
2832142329_1.jpg,15.44
2832210629_1.jpg,10.31
2832345961_1.jpg,3.14
2832345961_2.jpg,7.98
2832419032_1.jpg,41.19
2832419032_2.jpg,17.33
2832419032_3.jpg,14.08
2832445409_1.jpg,7.00
2832474092_1.jpg,5.55
2832569105_1.jpg,38.96
2832595241_1.jpg,9.72
2832899498_1.jpg,8.48
2832899498_2.jpg,2.03
2832899498_3.jpg,9.32
2832899498_4.jpg,11.60
2832972134_1.jpg,2.67
2833039030_1.jpg,7.61
2833047428_1.jpg,29.95
2833284031_1.jpg,6.29
2833348047_1.jpg,12.24
2833354335_1.jpg,0.46
2833354335_2.jpg,0.50
2833439712_1.jpg,29.52
2834315209_1.jpg,5.03
2834315209_2.jpg,17.59
2834570693_1.jpg,32.82
2834570693_2.jpg,37.90
2835188981_1.jpg,19.01
2835247059_1.jpg,9.01
2835515099_1.jpg,25.73
2835747568_1.jpg,10.97
2835747568_2.jpg,0.00
2835747568_3.jpg,2.88
2835747568_4.jpg,6.47
2835748079_1.jpg,2.49
2835883176_1.jpg,4.65
2835883176_2.jpg,18.57
2835886233_1.jpg,6.61
2836059945_1.jpg,2.18
2836254276_1.jpg,11.44
2836378111_1.jpg,9.31
2836391117_1.jpg,7.58
2836814194_1.jpg,2.75
2837082394_1.jpg,10.57
2837190452_1.jpg,29.04
2837574139_1.jpg,31.31
2837574139_2.jpg,9.58
2837759131_1.jpg,0.97
2837828461_1.jpg,5.19
2837934085_1.jpg,7.04
2837934085_2.jpg,42.90
2837934085_3.jpg,32.40
2838321282_1.jpg,14.24
2838321282_2.jpg,5.80
2838378597_1.jpg,3.70
2838378597_2.jpg,2.39
2838699102_1.jpg,6.40
2838699102_2.jpg,9.35
2838752446_1.jpg,9.35
2839082086_1.jpg,20.41
2839240860_1.jpg,21.45
2839391985_1.jpg,0.00
2839419500_1.jpg,6.35
2839419500_2.jpg,0.16
2839419500_3.jpg,16.70
2839419500_4.jpg,4.52
2839965377_1.jpg,4.01
2839965377_2.jpg,8.89
2840117104_1.jpg,4.59
2840117104_2.jpg,11.31
2840117104_3.jpg,0.85
2840175604_1.jpg,2.77
2840276396_1.jpg,3.77
2840393100_1.jpg,9.17
2840393100_2.jpg,6.12
2840393100_3.jpg,10.10
2840414614_1.jpg,43.60
2840472312_1.jpg,2.69
2840543661_1.jpg,8.87
2840543661_2.jpg,9.41
2840543661_3.jpg,3.92
2840616854_1.jpg,6.03
2840897260_1.jpg,8.75
2840897260_2.jpg,5.82
2840996469_1.jpg,6.55
2840996469_2.jpg,16.95
2841078724_1.jpg,15.69
2841106088_1.jpg,37.46
2841106088_2.jpg,43.40
2841106088_3.jpg,3.14
2841118884_1.jpg,7.93
2841118884_2.jpg,52.45
2841721312_1.jpg,35.05
2841802281_1.jpg,15.47
2842019016_1.jpg,9.17
2842077689_1.jpg,24.25
2842297650_1.jpg,3.37
2842673529_1.jpg,12.73
2842698956_1.jpg,7.34
2842698956_2.jpg,4.78
2842814263_1.jpg,16.15
2843040810_1.jpg,6.89
2843040810_2.jpg,4.92
2843382771_1.jpg,24.32
2843382771_2.jpg,21.63
2843382771_3.jpg,9.52
2843391056_1.jpg,11.09
2843735023_1.jpg,33.83
2843735023_2.jpg,17.27
2843735023_3.jpg,10.38
2843735023_4.jpg,8.26
2843735023_5.jpg,9.45
2844215716_1.jpg,5.67
2844278964_1.jpg,7.42
2844278964_2.jpg,4.46
2844442658_1.jpg,31.11
2844676821_1.jpg,10.81
2844786436_1.jpg,7.84
2845282390_1.jpg,24.95
2845446053_1.jpg,0.97
2850699925_1.jpg,3.62
2850740779_1.jpg,23.51
