"trait","n","p_env","p_env_fdr","delta_R2","R2_full","dev_expl","variable","edf","F","p_value","p_FDR"
"L_2",268,0.017945902828528,0.0275200250673265,0.00139456281172823,0.0563075516614201,0.187983740175138,"elevation",3.00964316704697e-05,3.73227120695423e-06,0.541535806798911,0.987215551171591
"L_2",268,0.017945902828528,0.0275200250673265,0.00139456281172823,0.0563075516614201,0.187983740175138,"bio_1",2.46146768519838e-05,4.53713685793179e-06,0.455495817242851,0.987215551171591
"L_2",268,0.017945902828528,0.0275200250673265,0.00139456281172823,0.0563075516614201,0.187983740175138,"bio_2",0.404142813521872,0.22285093062482,0.19814899705422,0.905823986533577
"L_2",268,0.017945902828528,0.0275200250673265,0.00139456281172823,0.0563075516614201,0.187983740175138,"bio_3",4.09940119421373e-05,3.38302172810538e-07,0.89586702666199,0.987215551171591
"L_2",268,0.017945902828528,0.0275200250673265,0.00139456281172823,0.0563075516614201,0.187983740175138,"bio_4",0.000122261888105787,3.17289413071672e-05,0.362532661451192,0.987215551171591
"L_2",268,0.017945902828528,0.0275200250673265,0.00139456281172823,0.0563075516614201,0.187983740175138,"bio_5",0.000281825186821323,1.31320460314639e-05,0.72181217218444,0.987215551171591
"L_2",268,0.017945902828528,0.0275200250673265,0.00139456281172823,0.0563075516614201,0.187983740175138,"bio_6",4.51741443105031e-05,1.70279009917457e-06,0.74199400859371,0.987215551171591
"L_2",268,0.017945902828528,0.0275200250673265,0.00139456281172823,0.0563075516614201,0.187983740175138,"bio_7",0.851589453169075,1.65913848902133,0.0152430716423687,0.212380823182116
"warmth",268,0.063435657491022,0.063435657491022,0.0094795488771886,0.261851323856538,0.367809453766626,"elevation",6.34905516914494e-05,2.30242592430122e-06,0.746233474373848,0.987215551171591
"warmth",268,0.063435657491022,0.063435657491022,0.0094795488771886,0.261851323856538,0.367809453766626,"bio_1",9.03304973687666e-05,1.61168412426169e-07,0.987215551171591,0.987215551171591
"warmth",268,0.063435657491022,0.063435657491022,0.0094795488771886,0.261851323856538,0.367809453766626,"bio_2",0.000217251987572294,4.34212421012302e-05,0.409525601172881,0.987215551171591
"warmth",268,0.063435657491022,0.063435657491022,0.0094795488771886,0.261851323856538,0.367809453766626,"bio_3",0.493902011715388,0.317926352437874,0.111894751320335,0.755581503351694
"warmth",268,0.063435657491022,0.063435657491022,0.0094795488771886,0.261851323856538,0.367809453766626,"bio_4",0.000104975588261483,2.34750372301746e-06,0.80662456953805,0.987215551171591
"warmth",268,0.063435657491022,0.063435657491022,0.0094795488771886,0.261851323856538,0.367809453766626,"bio_5",0.00041451798061052,7.714260557037e-05,0.455705994861912,0.987215551171591
"warmth",268,0.063435657491022,0.063435657491022,0.0094795488771886,0.261851323856538,0.367809453766626,"bio_6",0.000109982099783571,4.27270017509607e-07,0.948564008900352,0.987215551171591
"warmth",268,0.063435657491022,0.063435657491022,0.0094795488771886,0.261851323856538,0.367809453766626,"bio_7",0.814314517685622,1.3423966796111,0.0199107021733234,0.212380823182116
