"trait","n","p_env","p_env_fdr","delta_R2","R2_full","dev_expl","variable","edf","F","p_value","p_FDR"
"L_2",125,0.025111766033587,0.0334823547114493,0.0296920183717633,0.179554269495552,0.377347498581258,"bio_2",5.00567983047221e-05,1.02514769451294e-06,0.808639429490894,0.952066652739074
"L_2",125,0.025111766033587,0.0334823547114493,0.0296920183717633,0.179554269495552,0.377347498581258,"bio_3",7.64603335425435e-05,4.78205554211831e-07,0.895457368546051,0.952066652739074
"L_2",125,0.025111766033587,0.0334823547114493,0.0296920183717633,0.179554269495552,0.377347498581258,"bio_4",0.000128311203424214,1.20224046537165e-05,0.590959488446594,0.949202049828722
"L_2",125,0.025111766033587,0.0334823547114493,0.0296920183717633,0.179554269495552,0.377347498581258,"bio_5",0.445414318840145,0.260795084027462,0.13274645183401,0.849577291737663
"L_2",125,0.025111766033587,0.0334823547114493,0.0296920183717633,0.179554269495552,0.377347498581258,"bio_6",2.71784460762268e-05,1.26082751636616e-06,0.678501776509159,0.949202049828722
"L_2",125,0.025111766033587,0.0334823547114493,0.0296920183717633,0.179554269495552,0.377347498581258,"bio_7",4.83422983538406e-05,2.98217596687645e-06,0.652319985883292,0.949202049828722
"warmth",125,0.117312462747594,0.117312462747594,0.00210680397025187,0.161591108430752,0.358950095433566,"elevation",5.01335970573712e-06,5.97758988379649e-07,0.526547073883563,0.949202049828722
"warmth",125,0.117312462747594,0.117312462747594,0.00210680397025187,0.161591108430752,0.358950095433566,"bio_1",1.19713159999229e-05,1.11254744601954e-06,0.585418239083602,0.949202049828722
"warmth",125,0.117312462747594,0.117312462747594,0.00210680397025187,0.161591108430752,0.358950095433566,"bio_2",1.05504755402121e-05,1.28945752970731e-06,0.536575850437905,0.949202049828722
"warmth",125,0.117312462747594,0.117312462747594,0.00210680397025187,0.161591108430752,0.358950095433566,"bio_3",0.182972955381525,0.0745739694645917,0.263213495195592,0.949202049828722
"warmth",125,0.117312462747594,0.117312462747594,0.00210680397025187,0.161591108430752,0.358950095433566,"bio_4",1.79813067702045e-05,2.14798697825037e-07,0.881709772044767,0.952066652739074
"warmth",125,0.117312462747594,0.117312462747594,0.00210680397025187,0.161591108430752,0.358950095433566,"bio_5",0.584063254421816,0.450216520748342,0.122563835417229,0.849577291737663
"warmth",125,0.117312462747594,0.117312462747594,0.00210680397025187,0.161591108430752,0.358950095433566,"bio_6",0.000139870632786006,2.88988626807088e-05,0.411594271120809,0.949202049828722
"warmth",125,0.117312462747594,0.117312462747594,0.00210680397025187,0.161591108430752,0.358950095433566,"bio_7",0.663932367226194,0.595881405633165,0.0914130744295644,0.849577291737663
